SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
11;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.1. Ekosistemin cansız ve canlı bileşenleri arasındaki ilişkileri çözümleyebilme;Video/Etkileşimli İçerik;Ekosistemin bir bileşeninin ortadan kalkması durumunda ekosistemin kendisinin ve diğer ekosistemlerin nasıl etkileneceğinin tahmin edilebilmesi ve akıl yürütülebilmesine yönelik içerik hazırlanır.;;
12;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.2. Komünitelerde ve popülasyonlarda görülen etkileşimleri ve değişimleri sorgulayabilme;Video/Etkileşimli İçerik;"Tür içi ve türler arası etkileşimleri tespit edebilmek için bir doğa belgeseli veya video hazırlanır.
Komünitelerde ve popülasyonlarda görülen etkileşimler ve değişimler ile ilgili içerik hazırlanır.";;
13;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.3. Ekosistemdeki enerji akışıyla ilgili tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Ekosistemdeki enerji akışıyla ilgili içerik hazırlanır.
Enerji piramidi, besin zinciri ve besin ağı kavramlarını açıklayan animasyonlu video hazırlanır. Biyolojik birikim ile ilgili kısa videolar hazırlanır.";;
14;10;Biyoloji 10;2. EKOLOJİ;"BİY.10.2.5. Ekolojik sürdürülebilirliğin önemini
yorumlayabilme";Video/Etkileşimli İçerik;Ekolojik sürdürülebilirliğin önemine yönelik içerik hazırlanır.;;
15;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.6. Çevresinde sürdürülebilirliği kısıtlayan durumlarla ilgili gözleme dayalı tahmin yapabilme;Video/Etkileşimli İçerik;Sürdürülebilirliği kısıtlayan durumlarla ilgili içerik hazırlanır.;;
16;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.7. Ekolojik ayak izini küçültebilme yollarını bilimsel olarak sorgulayabilme;Video/Etkileşimli İçerik;Ekolojik ayak izini küçültebilme yolları ile ilgili içerik hazırlanır.;;
17;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.8. Doğal kaynakların ve biyoçeşitliliğin korunması için alınan önlemleri sorgulayabilme;Video/Etkileşimli İçerik;"""Özel Çevre Koruma Bölgesi"" ilan edilen bölgelerin doğal değerleri, ekolojik, sosyokültürel ve ekonomik süreçleri ile biyolojik çeşitliliklerinin tespitine yönelik çalışmaları konu alan belgesel, video veya animasyon hazırlanır.
Doğal kaynakların ve biyoçeşitliliğin korunması için alınan önlemler ile ilgili içerik hazırlanır.";;
18;10;Biyoloji 10;2. EKOLOJİ;BİY.10.2.9. Çevresinde atık yönetimi konusunda yapılan çalışmalarla ilgili bilgi toplayabilme;Video/Etkileşimli İçerik;"Atık yönetimi içerikli video hazırlanır.
Atık yönetimi konusunda yapılan çalışmalarla ilgili içerik hazırlanır.";;
1;11;Biyoloji 11;1. TEPKİ;BİY.11.1.1. Farklı canlıların uyaranlara karşı oluşturduğu tepki mekanizmaları ile ilgili tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Canlılardaki tepki mekanizmalarıyla ilgili çıkarım yapmalarını sağlamak amacıyla bir doğa belgeseli, video veya animasyon hazırlanır.
Öğrencilerin farklı canlı türlerindeki tepki mekanizmalarını karşılaştırabileceği ve genellemeler yapabileceği etkileşimli bir tablo veya şema hazırlanır.";;
2;11;Biyoloji 11;1. TEPKİ;BİY.11.1.2. Bitkisel hormonların meyve olgunlaşması ve bitki gelişimindeki etkileri hakkında analojik akıl yürütebilme;Video/Etkileşimli İçerik;"Bitkisel hormonların absisik asit, oksin, giberellin, etilenin bitki gelişimine etkisini belirten etkileşimli içerik, video veya animasyon hazırlanır.
Bitkisel hormonların (oksin, giberellin, etilen vb.) bitkilerde büyüme, gelişme, meyve olgunlaşması gibi süreçlerdeki etkilerini anlatan bir video hazırlanır.";;
3;11;Biyoloji 11;1. TEPKİ;BİY.11.1.3. Bitkilerdeki tepki mekanizmalarını sınıflandırabilme;Video/Etkileşimli İçerik;"Bitki hareketlerini gösteren ve bitkilerdeki tepki mekanizmalarının gözlemlenebileceği animasyon, video veya etkileşimli içerik hazırlanır.
Bitkilerde görülen farklı tepki mekanizmalarını (tropizma, nasti) tanıtan ve örneklerle açıklayan bir video hazırlanır.
Öğrencilerin bitkilerdeki tepki çeşitlerini sınıflandırabileceği, etkileşimli bir akış şeması veya kavram haritası hazırlanır.";;
4;11;Biyoloji 11;1. TEPKİ;BİY.11.1.4. Bitkilerde yönelme hareketlerini gözlemleyebileceği deney yapabilme;Video/Etkileşimli İçerik;"Bitkilerin gövdesi yukarı doğru büyürken kökleri neden toprağın derinliklerine doğru gelişir?' sorusuna cevap verilebilecek pozitif ve negatif tropizma hareketlerini gösteren hızlandırılmış video veya animasyon hazırlanır.
Bitki gövdesinin ışık uyaranına doğru yönelme hareketleri, bilim insanları tarafından gerçekleştirilen koleoptil deneyleri ile ilgili içerik hazırlanır.
Bitkilerde ışık, su ve kimyasal uyaranların bitkideki tropizma hareketlerine etkilerinin gözlemlenebileceği deneyleri anlatan bir video hazırlanır.
Öğrencilerin sanal bir laboratuvar ortamında bitkiler üzerinde deneyler yapabileceği, etkileşimli bir simülasyon hazırlanır.";;
5;11;Biyoloji 11;1. TEPKİ;BİY.11.1.5. Duyu reseptörlerini ve duyu reseptörlerinin bulunduğu duyu organlarını sınıflandırabilme;Video/Etkileşimli İçerik;"Duyu organları ve duyu reseptörleriyle ilgili içerik hazırlanır.
Farklı duyu reseptörlerini (ışık, ses, koku, tat, dokunma) ve bunların bulunduğu duyu organlarını anlatan bir video hazırlanır.
Öğrencilerin duyu reseptörlerini ve duyu organlarını sınıflandırabileceği, etkileşimli bir tablo veya şema hazırlanır.";;
6;11;Biyoloji 11;1. TEPKİ;BİY.11.1.6. Hayvanlardaki sinir sistemi farklılıkları ile ilgili analojik akıl yürütebilme;Video;"Omurgasız hayvanlardan süngerler, sölenterler, eklem bacaklılar, yassı ve yuvarlak solucanlar ile omurgalı hayvanlardan balıklar, sürüngenler, kuşlar ve memelilerde bulunan sinir sistemlerinin yapılarını açıklayan görselleri içeren video hazırlanır.
Omurgasız ve omurgalı hayvanlardaki sinir sistemi yapılarını karşılaştıran ve farklılıklarını açıklayan görselleri içeren video hazırlanır.";;
7;11;Biyoloji 11;1. TEPKİ;BİY.11.1.7. İnsanda sinir sistemi yapısını çözümleyebilme;Video/Etkileşimli İçerik;"İnsan sinir sistemini oluşturan yapılar ve bu yapıların görevleri hakkında video, animasyon veya etkileşimli içerik hazırlanır.
İnsan sinir sisteminin anatomik olarak bir bütün olduğunun ancak fonksiyon bakımından parçalardan oluştuğunun keşfedilmesini sağlayan görseller içeren video hazırlanır.
‘’Duyu nöronları aracılığıyla merkezî sinir sistemine ulaşan bilgiler, ara nöronlarda yorumlanır ve motor nöronlarla efektör organlara iletilir.’’ bilgisinden ve refleks yayı örneklerinden hareketle sinir sistemini oluşturan parçalar arasında ilişki kurulmasını sağlayan video, animasyon veya etkileşimli içerik hazırlanır.
Sinir sisteminin yapısal bileşenlerini ve bu bileşenler arasındaki ilişkileri gösteren video, animasyon veya etkileşimli içerik hazırlanır.";;
8;11;Biyoloji 11;1. TEPKİ;BİY.11.1.8. Refleks olayını yorumlayabilme;Video/Etkileşimli İçerik;"Göz bebeği, diz kapağı, yutkunma emme refleksi olaylarının oluş sürecinde sinir sisteminin hangi yapılarının görev aldığını belirten içerik hazırlanır.
Refleks yayını, refleks olayının nasıl gerçekleştiğini ve önemini anlatan bir video hazırlanır.
Öğrencilerin refleks olayını farklı örnekler üzerinden inceleyebileceği ve yorumlayabileceği etkileşimli bir senaryo veya simülasyon hazırlanır.";;
9;11;Biyoloji 11;1. TEPKİ;BİY.11.1.9. Harekete dayalı tepkinin oluşmasında iskelet, kas ve eklemlerin eş güdümlü çalışmasıyla ilgili eleştirel düşünebilme;Video;"Destek ve hareket sisteminin yapısı ile ilgili video veya animasyon hazırlanır.
Vücudumuzda hareketin nasıl gerçekleştiğini, iskelet, kas ve eklemlerin bu süreçteki rollerini ve eş güdümlü çalışmalarını anlatan bir video hazırlanır.";;
10;11;Biyoloji 11;1. TEPKİ;BİY.11.1.10. İskelet kaslarının kasılma ve gevşeme mekanizması ile ilgili bilimsel model oluşturabilme;Video/Etkileşimli İçerik;"Kasların (düz kas, çizgili kas, kalp kası) yapısı, işlevi ve tepkisel hareketle olan ilişkisi ve iskelet kaslarının kasılma mekanizmasıyla ilgili içerik hazırlanır.
İskelet kaslarının yapısını, kasılma ve gevşeme mekanizmasını, bu süreçte rol alan proteinleri (aktin, miyozin) anlatan bir video hazırlanır.
Öğrencilerin kasılma ve gevşeme mekanizmasını gösteren bir model oluşturabileceği, etkileşimli bir animasyon veya simülasyon hazırlanır.";;
11;11;Biyoloji 11;1. TEPKİ;BİY.11.1.11. Bağışıklığı sınıflandırabilme;Video/Etkileşimli İçerik;"Bağışıklığın insan ve toplum sağlığı açısından önemi vurgulanarak sağlıklı yaşamın önemiyle ilgili video, animasyon veya etkileşimli içerik hazırlanır.
Bağışıklık sistemini, doğal ve kazanılmış bağışıklığı, bağışıklık sisteminin elemanlarını anlatan bir video hazırlanır.
Öğrencilerin bağışıklık sisteminin farklı kollarını ve elemanlarını sınıflandırabileceği, etkileşimli bir akış şeması veya tablo hazırlanır.";;
12;11;Biyoloji 11;1. TEPKİ;BİY.11.1.12. Alerjik tepkilerin oluşumunu sorgulayabilme;Video/Etkileşimli İçerik;"Alerji ve alerjik reaksiyonun vücuttaki etkileriyle ilgili video veya animasyon hazırlanır.
Alerjik reaksiyonların nedenlerini, vücutta nasıl gerçekleştiğini ve alerjiye neden olan faktörleri anlatan bir video hazırlanır.
Öğrencilerin alerjik tepkilerin oluşum sürecini sorgulayabileceği, etkileşimli bir soru-cevap uygulaması veya animasyon hazırlanır.";;
13;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.1. Homeostazinin canlılar için önemiyle ilgili bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;"İbni Sina, İbnünnefis, Ebu Bekir Razi, Walter Cannon ve Claude Bernard gibi bilim insanlarının homeostazinin vücuttaki denge unsuru olmasıyla ilgili çalışmalarını, medeniyetimizin gelişmesine katkıda bulunan bilim insanlarının başarılarını, farklı canlılardaki homeostazi örnekleri (protistada kontraktil kofullar, balıklarda solungaçlar, bitkilerde stomalar vb.) ile ilgili bilgi içeren içerik hazırlanır.
Öğrencilerin homeostazinin önemini farklı canlı türleri ve durumlar üzerinden değerlendirebileceği, etkileşimli bir soru-cevap uygulaması veya animasyon hazırlanır.";;
14;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.2. Homeostatik süreçleri sorgulayabilme;Video/Etkileşimli İçerik;"Bir kişide homeostatik süreçlerin (su ve elektrolit dengesi, metabolizma ve enerji dengesi, toksinlerin uzaklaştırılması, vücut ısısının kontrolü, kan basıncının kontrolü, vücut ağırlığının kontrolü vb.) neler olabileceği, homeostatik süreçlerle ilgili sorun yaşamamak için ne gibi önlemler alınabileceği, homeostatik süreçlerde sorun yaşandığında bu sorunların nasıl aşabileceği hakkında örnekler içeren içerik hazırlanır.
Öğrencilerin hemostatik süreçleri sorgulayabileceği, etkileşimli bir soru-cevap uygulaması veya animasyon hazırlanır.";;
15;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.3. Pozitif ve negatif geri bildirim mekanizmalarını karşılaştırabilme;Video/Etkileşimli İçerik;"Pozitif ve negatif geri bildirim mekanizmalarını içeren içerik hazırlanır.
Pozitif ve negatif geri bildirim mekanizmalarını, örneklerle açıklayan ve karşılaştıran bir video hazırlanır.
Öğrencilerin bu mekanizmaları farklı biyolojik süreçler üzerinden inceleyebileceği ve karşılaştırabileceği etkileşimli bir tablo veya şema hazırlanır.";;
16;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.4. Homeostazinin sağlanmasında sinir sisteminin etkilerini çözümleyebilme;Video/Etkileşimli İçerik;"Homeostazinin sağlanmasında görev alan sinir sistemi yapılarının neler olduğunu ve sinir sisteminin homeostazi üzerindeki etkilerini içeren içerik hazırlanır.
Kan basıncının yükselmesiyle uyarılan hipotalamusun hipofiz bezini uyarmasına bağlı olarak salgılanan hormonların kan basıncını düşürücü etkiler gösterebileceği gibi örnek durumlar içeren ve homeostazinin sağlanmasında sinir sisteminin farklı yapıları arasındaki fonksiyonel ilişkilerin belirlenmesini sağlayan içerik hazırlanır.
Stres durumları (sınav stresi, korku vb.) ile ilgili senaryolar içeren içerik hazırlanır.
Öğrencilerin sinir sisteminin homeostaziye etkisini farklı örnekler üzerinden inceleyebileceği, etkileşimli bir simülasyon hazırlanır.";;
17;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.5. Endokrin sisteminin homeostazi işlevine yönelik bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;"Endokrin sistemini oluşturan bez (hipofiz, tiroid, paratiroid, pankreas, böbrek üstü bezleri, eşey bezleri) ve yapıların (yağ dokusu, mide-bağırsak sistemi) vücuttaki görevlerini, hormonların nasıl üretildiğini, salgılandığını ve hedef organlara nasıl etki ettiğini gösteren ve örnek olaylar (kan şekerinin artışına bağlı olarak pankreastan salgılanan insülin hormonunun kan şekerini düzenlemesi gibi) içeren endokrin sisteminin yapı ve görevlerini içeren içerik hazırlanır.
Endokrin bezleri, hormonları ve hormonların vücut fonksiyonlarını nasıl düzenlediğini anlatan bir video hazırlanır.
Öğrencilerin endokrin sisteminin homeostaziye etkisini farklı hormonlar ve bezler üzerinden inceleyebileceği, etkileşimli bir şema veya tablo hazırlanır.";;
18;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.6. Dolaşım sistemi ve homeostazi arasındaki ilişki ile ilgili bilimsel model oluşturabilme;Video/Etkileşimli İçerik;"Starling hipotezinden yola çıkarak homeostatik dengeye sahip bir canlının dolaşım sisteminde besinlerin ve oksijenin hücrelere taşınmasının ve atık ürünlerin hücrelerden uzaklaştırılmasının genel hatlarını gösteren bilimsel modeller içeren içerik hazırlanır.
Dolaşımın homeostazinin sağlanmasındaki rolünü (besin ve oksijen taşıma, atık maddeleri uzaklaştırma) anlatan bir video hazırlanır.
Öğrencilerin dolaşım sistemi ve homeostazi arasındaki ilişkiyi gösteren bir model oluşturabileceği, etkileşimli bir animasyon veya simülasyon hazırlanır.";;
19;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.7. Solunum sisteminin homeostazinin sağlanmasındaki rolünü kanıtlarla ortaya koyabilme;Video/Etkileşimli İçerik;"Alveollerin yapısını (kılcal damarlarla birlikte) gösteren içerik hazırlanır.
Solunum sisteminin homeostazinin sağlanmasındaki rolünü (oksijen alımı, karbondioksit atımı, pH dengesini sağlama, vücut sıcaklığının kontrolünü) anlatan bir video hazırlanır.
Öğrencilerin solunum sisteminin homeostazinin sağlanmasındaki rolü ile ilgili deneyler yapabileceği ve sonuçları yorumlayabileceği, etkileşimli bir simülasyon veya laboratuvar uygulaması hazırlanır.";;
20;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.8. Boşaltım sisteminin homeostazi işlevine yönelik bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;"Nefronların yapısı ve boşaltım sistemindeki görevlerini içeren içerik hazırlanır. Nefronun homeostazi ile ilişkisini anlatan içerik hazırlanır.
Boşaltım sisteminin homeostazinin sağlanmasındaki rolünü (atık maddeler ve fazla suyun vücuttan uzaklaştırılması, su ve elektrolit dengesi, asit-baz dengesi, kan basıncı vb.) anlatan bir video hazırlanır.
Öğrencilerin boşaltım sistemi ve homeostazi arasındaki ilişkiyi inceleyebileceği, etkileşimli bir şema veya tablo hazırlanır.";;
21;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.9. Homeostazinin sağlanmasında sistemlerin eş güdümlü çalışmasıyla ilgili eleştirel düşünebilme;Video/Etkileşimli İçerik;"Homeostazinin sağlanmasında sistemlerin eş güdümlü çalışmasının gerekliliğini ile ilgili içerik hazırlanır.
Farklı sistemlerin (sinir sistemi, endokrin sistemi, dolaşım sistemi, solunum sistemi, boşaltım sistemi) homeostazinin sağlanmasında nasıl birlikte çalıştığını anlatan bir video hazırlanır.
Öğrencilerin bir sistemdeki aksaklığın diğer sistemleri ve homeostaziyi nasıl etkileyeceğini düşünebileceği, etkileşimli bir simülasyon veya problem çözme etkinliği hazırlanır.";;
22;11;Biyoloji 11;2. HOMEOSTAZİ;BİY.11.2.10. Homeostazinin sağlanamadığı durumlarda oluşabilecek sağlık problemleri hakkında hipotez oluşturabilme;Video/Etkileşimli İçerik;"Homeostazinin sağlanamadığı durumlarda oluşabilecek sağlık problemleri hakkında içerik hazırlanır.
Homeostazinin sağlanamadığı durumlarda oluşabilecek sağlık problemleri Diabetes Mellitus (Kan Şekeri Dengesinin Bozukluğu), Diabetes İnsipidus (Osmotik Denge Bozukluğu), Hipertansiyon (Kan Basıncı Dengesinin Bozukluğu), Obezite (Vücut Ağırlığı Dengesinin Bozukluğu) anlatan bir video hazırlanır.
Öğrencilerin farklı hastalıklar ve homeostazi arasındaki ilişkiyi araştırabileceği ve hipotezler oluşturabileceği etkileşimli bir araştırma uygulaması hazırlanır.";;
1;12;Biyoloji 12;1. ÜREME;BİY.12.1.1. Canlılarda üremenin önemini sorgulayabilme;Video;Üremenin canlılar için neden önemli olduğunu, türlerin devamlılığı ve çeşitlilik açısından rolünü anlatan bir video hazırlanır.;;
2;12;Biyoloji 12;1. ÜREME;BİY.12.1.2. Hücre bölünmesinin canlılar için önemini yorumlayabilme;Video/Etkileşimli İçerik;Amip hücresinin bölünmesi deneyi yapılarak öğrencilerden bölünen hücrelerin niteliklerini tespit etmeleri istenir. Deney koşullarının oluşturulamadığı durumlarda deneyle ilgili görseller, animasyon veya videolar kullanılır. Hücre bölünmesinin (mitoz ve mayoz) canlılar için neden önemli olduğunu, büyüme, gelişme, onarım ve üremedeki rolünü açıklayan bir video hazırlanır.;;
3;12;Biyoloji 12;1. ÜREME;BİY.12.1.3. Hücredeki genetik materyalin organizasyonunu çözümleyebilme;Video/Etkileşimli İçerik;"DNA, gen, kromozom, kromatin gibi kavramları açıklayan, hücredeki genetik materyalin nasıl organize olduğunu anlatan bir video hazırlanır.
Öğrencilerin hücredeki genetik materyalin organizasyonunu 3 boyutlu olarak inceleyebileceği, etkileşimli bir model veya animasyon hazırlanır.";;
4;12;Biyoloji 12;1. ÜREME;BİY.12.1.4. Canlılarda hücre döngüsü ve hücre bölünmesini sorgulayabilme;Video/Etkileşimli İçerik;"Hücre döngüsünün evrelerini (interfaz, mitoz, sitokinez), hücre döngüsünün kontrolünde sorunlarla karşılaşılırsa neler olabileceği, hücre döngüsünün düzenleyici görevleri ve hücre döngüsünün insanın büyüme ve gelişimine katkısını  anlatan bir video hazırlanır.
Öğrencilerin hücre döngüsü ve bölünmesini sorgulayabileceği, etkileşimli bir soru-cevap uygulaması veya animasyon hazırlanır.";;
5;12;Biyoloji 12;1. ÜREME;BİY.12.1.5. Kromozomlarda ayrılmamanın sonuçlarıyla ilgili bilimsel çıkarım yapabilme;Etkileşimli İçerik;Öğrencilerin ayrılmama durumunda kromozom sayısındaki değişimleri inceleyebileceği ve sonuçlarını tahmin edebileceği etkileşimli bir simülasyon veya problem çözme etkinliği hazırlanır.;;
6;12;Biyoloji 12;1. ÜREME;BİY.12.1.6. Eşeysiz üreme çeşitleriyle ilgili deney yapabilme;Video/Etkileşimli İçerik;"Farklı eşeysiz üreme çeşitlerini (bölünme, tomurcuklanma, rejenerasyon, vejetatif üreme) anlatan ve bu üreme çeşitlerine örnek deneylerin yapılışını gösteren bir video hazırlanır.
Öğrencilerin sanal bir laboratuvar ortamında eşeysiz üreme ile ilgili deneyler yapabileceği, etkileşimli bir simülasyon hazırlanır.";;
7;12;Biyoloji 12;1. ÜREME;BİY.12.1.7. Üreme hücrelerinin oluşum süreci ve yapılarını karşılaştırabilme;Video/Etkileşimli İçerik;"Sperm ve yumurta hücrelerinin oluşum sürecini (gametogenez), yapılarını ve özelliklerini karşılaştıran bir video veya animasyon hazırlanır.
Öğrencilerin üreme hücrelerinin farklılıklarını ve benzerliklerini inceleyebileceği, etkileşimli bir tablo veya şema hazırlanır.";;
8;12;Biyoloji 12;1. ÜREME;BİY.12.1.8. Eşeysiz ve eşeyli üreme ile ilgili bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;Eşeysiz ve eşeyli üreme arasındaki benzerlik ve farklılıklarla ilgili video veya etkileşimli içerik hazırlanır.;;
9;12;Biyoloji 12;1. ÜREME;BİY.12.1.9. Erkek ve dişi üreme sistemlerinin yapısı ve işleyişiyle ilgili bilgi toplayabilme;Video/Etkileşimli İçerik;Erkek ve dişi üreme siteminin yapısı ve işleyişi ile ilgili video veya etkileşimli içerik hazırlanır.;;
10;12;Biyoloji 12;1. ÜREME;BİY.12.1.10. Embriyonik gelişimle ilgili bilgi toplayabilme;Video/Etkileşimli İçerik;Embriyonik gelişimin aşamaları (döllenme, bölünme, gastrülasyon ve organogenez) ve embriyonik gelişim sürecinde meydana gelen değişimlerle ilgili video veya animasyon hazırlanır.;;
11;12;Biyoloji 12;1. ÜREME;BİY.12.1.11. Çiçeğin kısımları ve görevleriyle ilgili bilimsel gözlem yapabilme;Video/Etkileşimli İçerik;"Çiçeğin kısımlarını (çanak yaprak, taç yaprak, erkek organ, dişi organ) ve görevlerini anlatan bir video/animasyon hazırlanır.
Öğrencilerin gerçek veya sanal çiçekler üzerinde gözlem yapabileceği, etkileşimli bir uygulama veya simülasyon hazırlanır.";;
12;12;Biyoloji 12;1. ÜREME;BİY.12.1.12. Çimlenmeyi etkileyen faktörleri gözlemleyebileceği deney yapabilme;Video/Etkileşimli İçerik;"Çimlenmeyi etkileyen faktörleri (su, sıcaklık, ışık, oksijen) anlatan ve bu faktörlerin etkisini gösteren deneylerin yapılışını gösteren bir video hazırlanır.
Öğrencilerin sanal bir laboratuvar ortamında çimlenme ile ilgili deneyler yapabileceği, etkileşimli bir simülasyon hazırlanır.";;
13;12;Biyoloji 12;2. GEN;BİY.12.2.1. Nükleik asitlerin yapısını ve canlılıktaki rolünü sorgulayabilme;Video/Etkileşimli İçerik;"DNA ve RNA'nın yapısını, nükleotidleri, baz eşleşmesini ve canlılıktaki rollerini (genetik bilginin taşınması ve aktarılması) anlatan bir video hazırlanır.
Öğrencilerin nükleik asitlerin yapısını ve işlevlerini sorgulayabileceği, etkileşimli bir soru- cevap uygulaması veya animasyon hazırlanır.";;
14;12;Biyoloji 12;2. GEN;BİY.12.2.2. DNA replikasyonunun bilimsel modelini oluşturabilme;Video/Etkileşimli İçerik;Öğrencilere DNA replikasyonunun temel adımlarını gösteren bir video veya animasyon hazırlanır.;;
15;12;Biyoloji 12;2. GEN;BİY.12.2.3. Genetik bilginin ürüne dönüşüm sürecini çözümleyebilme;Video/Etkileşimli İçerik;"DNA'daki genetik bilginin RNA'ya aktarılması (transkripsiyon) ve RNA'daki bilginin proteine çevrilmesi (translasyon) süreçlerini anlatan bir video hazırlanır.
Öğrencilerin bu süreçleri detaylı bir şekilde inceleyebileceği, etkileşimli bir animasyon veya şema hazırlanır.";;
16;12;Biyoloji 12;2. GEN;BİY.12.2.4. Genetik yapıdaki değişikliklerin canlı yaşamına etkileri hakkında eleştirel düşünebilme;Video;Mutasyonlar, kromozom anomalileri gibi genetik yapıdaki değişikliklerin nedenlerini ve canlılar üzerindeki olumlu ve olumsuz etkilerini anlatan bir video hazırlanır.;;
